Condition,Price,Propulsion,No. Engines,Year,Make,Model,Flight Rules,National Origin,Country,Continent
Used,68900.0,Piston Engine,1.0,1972.0,Cessna,177Rg,IFR,United States,United States,North America
Used,175000.0,Piston Engine,2.0,1978.0,Beechcraft,B55 Baron,IFR,United States,United States,North America
Used,64900.0,Piston Engine,2.0,1959.0,Cessna,310C,No information,United States,United States,North America
Used,479000.0,Piston Engine,1.0,2011.0,Cirrus,Sr22-G3 Gts,No information,United States,United States,North America
Used,7000.0,Piston Engine,1.0,1973.0,Cessna,150L,IFR,United States,United States,North America
Used,34900.0,Piston Engine,1.0,1938.0,Arrow,Sport,No information,United States,United States,North America
Used,294900.0,Piston Engine,1.0,2011.0,Cirrus,Sr20-G3,IFR,United States,United States,North America
Used,279000.0,Piston Engine,1.0,2006.0,Cirrus,Sr22-G2 Gts,IFR,United States,United States,North America
Used,99500.0,Piston Engine,1.0,1963.0,Cessna,205,No information,United States,United States,North America
Used,62000.0,Piston Engine,1.0,1977.0,Beechcraft,C23 Sundowner 180,IFR,United States,United States,North America
No information,1295000.0,Turbofan,2.0,2004.0,Cessna,Citation Bravo,No information,United States,United States,North America
Used,119000.0,Piston Engine,2.0,1975.0,Beechcraft,58 Baron,IFR,United States,United States,North America
Used,49853.0,Piston Engine,1.0,1978.0,Beechcraft,C23 Sundowner 180,IFR,United States,United States,North America
Used,139900.0,Piston Engine,1.0,2000.0,Cirrus,Sr20,IFR,United States,United States,North America
No information,795000.0,Turboprop,2.0,1982.0,Beechcraft,King Air F90,No information,United States,United States,North America
Used,124500.0,Piston Engine,1.0,1978.0,Piper Aircraft,Turbo Lance Ii,IFR,United States,United States,North America
Used,40000.0,Piston Engine,1.0,1973.0,Cessna,150L,IFR,United States,United States,North America
Used,1695000.0,Turboprop,1.0,2008.0,Cessna,208B Grand Caravan,No information,United States,United States,North America
Used,21500.0,Piston Engine,1.0,1985.0,Stolp Aircraft,Starduster Too Sa-300,No information,United States,United States,North America
No information,3600000.0,Turbofan,2.0,2007.0,Gulfstream Airspace,G150,No information,United States,United States,North America
No information,795000.0,Turbofan,2.0,1995.0,Bombardier Learjet,31A,IFR,Canada,United States,North America
Used,190000.0,Piston Engine,1.0,2002.0,Cirrus,Sr20,IFR,United States,United States,North America
Used,59900.0,Piston Engine,1.0,1971.0,Piper Aircraft,Arrow Ii,IFR,United States,United States,North America
Used,45000.0,Piston Engine,1.0,1976.0,Beechcraft,C23 Sundowner 180,IFR,United States,United States,North America
Used,219000.0,Piston Engine,1.0,1987.0,North American Aviation,T28B,No information,United States,United States,North America
Used,219900.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven I,VFR,United States,United States,North America
Used,92000.0,Gyrocopter,1.0,2017.0,Autogyro,Calidus,No information,Germany,United States,North America
Used,110000.0,Piston Engine,1.0,1965.0,Cessna,182H Skylane,No information,United States,United States,North America
Used,799900.0,Piston Engine,1.0,2014.0,Piper Aircraft,Malibu Mirage,IFR,United States,United States,North America
Used,140000.0,Piston Engine,1.0,1979.0,Bellanca,17-30A Super Viking (1979 And Newer),IFR,United States,United States,North America
Used,65000.0,Piston Engine,1.0,1998.0,Steen Aero Lab Inc,Skybolt,VFR,United States,United States,North America
Used,199000.0,Piston Engine,2.0,2014.0,Lockwood Aircraft,Aircam,VFR,United States,United States,North America
Used,297000.0,Piston Engine,1.0,1999.0,Piper Aircraft,Saratoga Ii Hp,IFR,United States,United States,North America
No information,260000.0,Piston Engine,1.0,2007.0,Cirrus,Sr22 G3 Gts,No information,United States,United Kingdom,Europe
Used,379900.0,Turboshaft,1.0,1964.0,Bell Textron,Uh-1H,VFR,United States,United States,North America
Used,98500.0,Piston Engine,1.0,2016.0,Evektor,Sportstar,VFR,Czech Republic,United States,North America
Used,304900.0,Piston Engine,1.0,2018.0,Cubcrafters,Carbon Cub Fx3,VFR,United States,United States,North America
No information,8500000.0,Turboshaft,1.0,2015.0,Cessna,H145,No information,Germany,United States,North America
Used,59000.0,Piston Engine,1.0,1980.0,Lake,La 4/200,No information,United States,United States,North America
No information,139900.0,Piston Engine,1.0,1989.0,Mooney International Corp,M20M,No information,United States,United States,North America
Used,197500.0,Piston Engine,1.0,2002.0,Cirrus,Sr22,IFR,United States,United States,North America
Used,95000.0,Piston Engine,1.0,1977.0,Mooney International Corp,M20J 201,IFR,United States,United States,North America
Used,187000.0,Piston Engine,2.0,1978.0,Cessna,421C,IFR,United States,United States,North America
No information,1995000.0,Turboprop,2.0,2002.0,Beechcraft,King Air B200,No information,United States,United States,North America
Used,124000.0,Piston Engine,1.0,1978.0,Beechcraft,F33A Bonanza,IFR,United States,United States,North America
Used,94500.0,Piston Engine,1.0,1979.0,Cessna,172N Skyhawk,IFR,United States,United States,North America
Used,195000.0,Piston Engine,2.0,1979.0,Beechcraft,55 Baron,IFR,United States,United States,North America
No information,1645000.0,Turbofan,2.0,1999.0,Cessna,Citation Ultra,No information,United States,United States,North America
Used,159000.0,Piston Engine,1.0,1979.0,Beechcraft,V35B Bonanza,IFR,United States,United States,North America
Used,149000.0,Piston Engine,2.0,1978.0,Beechcraft,55 Baron,IFR,United States,United States,North America
Used,179000.0,Piston Engine,2.0,1979.0,Beechcraft,B55 Baron,IFR,United States,United States,North America
Used,2580000.0,Turbofan,2.0,2004.0,Cessna,Citation Cj2,VFR,United States,United States,North America
Used,226900.0,Turboprop,1.0,1976.0,Siai Marchetti,Sm1019A,IFR,Italy,United States,North America
No information,2100000.0,Turboshaft,1.0,2011.0,Bell Textron,206L 4,No information,United States,United States,North America
Used,375000.0,Piston Engine,1.0,1977.0,Cessna,U206G,No information,United States,United States,North America
Used,36700.0,Piston Engine,2.0,1962.0,Aero Commander,500A,No information,United States,United States,North America
Used,65000.0,Piston Engine,1.0,1968.0,Mooney International Corp,M20G Statesman,IFR,United States,United States,North America
Used,169000.0,Piston Engine,1.0,1976.0,Beechcraft,V35B Bonanza,IFR,United States,United States,North America
Used,32000.0,Piston Engine,1.0,1963.0,Cessna,150C,VFR,United States,United States,North America
Used,109000.0,Piston Engine,2.0,1977.0,Beechcraft,B55 Baron,IFR,United States,United States,North America
Used,41900.0,Piston Engine,1.0,1971.0,Piper Aircraft,Arrow,IFR,United States,United States,North America
Used,125000.0,Piston Engine,1.0,2008.0,Schweizer,269C-1,VFR,United States,United States,North America
Used,1595000.0,Turboprop,2.0,2008.0,Beechcraft,King Air C90Gti,No information,United States,United States,North America
Used,625000.0,Piston Engine,1.0,2013.0,Cirrus,Sr22T-G5,IFR,United States,United States,North America
Used,68500.0,Piston Engine,1.0,1972.0,Cessna,182P Skylane,IFR,United States,United States,North America
No information,175000.0,Piston Engine,1.0,1987.0,Cessna,P210,IFR,United States,United Kingdom,Europe
Used,165000.0,Piston Engine,1.0,1974.0,Cessna,210L,IFR,United States,United States,North America
Used,129500.0,Piston Engine,1.0,1978.0,Cessna,P210N,IFR,United States,United States,North America
Used,126900.0,Piston Engine,1.0,1976.0,Cessna,T210L,IFR,United States,United States,North America
Used,209900.0,Piston Engine,1.0,1979.0,Cessna,T210N,IFR,United States,United States,North America
Used,999000.0,Piston Engine,2.0,2014.0,Beechcraft,G58 Baron,No information,United States,United States,North America
No information,214900.0,Piston Engine,1.0,2007.0,Cessna,182T Skylane,IFR,United States,United States,North America
Used,79950.0,Piston Engine,1.0,1973.0,Cessna,182P Skylane,IFR,United States,United States,North America
Used,52000.0,Piston Engine,1.0,1974.0,Beechcraft,C23 Sundowner 180,IFR,United States,United States,North America
Used,42500.0,Piston Engine,1.0,1973.0,Bellanca,Citabria 7Gcbc,No information,United States,United States,North America
Used,28500.0,Piston Engine,1.0,1946.0,Piper Aircraft,J-3 Cub,VFR,United States,United States,North America
Used,189000.0,Piston Engine,2.0,1973.0,Cessna,421B,IFR,United States,United States,North America
Used,144900.0,Piston Engine,1.0,1973.0,Cessna,182 Skylane,IFR,United States,United States,North America
Used,239950.0,Piston Engine,1.0,2003.0,Cessna,182T Skylane,IFR,United States,United States,North America
No information,625000.0,Piston Engine,1.0,2013.0,Cirrus,Sr22T-G5 Gts,IFR,United States,United States,North America
No information,269900.0,Piston Engine,1.0,2007.0,Cirrus,Sr22-G3 Turbo Gts,IFR,United States,United Kingdom,Europe
Used,259000.0,Piston Engine,1.0,2007.0,Cessna,T182T Skylane,IFR,United States,United States,North America
Used,72000.0,Piston Engine,1.0,1971.0,Cessna,177Rg,IFR,United States,United States,North America
Used,189900.0,Piston Engine,1.0,1977.0,Beechcraft,A36 Bonanza 36,IFR,United States,United States,North America
Used,69900.0,Piston Engine,1.0,1979.0,Piper Aircraft,Turbo Arrow Iv,IFR,United States,United States,North America
Used,695000.0,Turbofan,2.0,1987.0,Hawker,800A,No information,United Kingdom,United States,North America
Used,75000.0,Piston Engine,1.0,2018.0,Van'S Aircraft,Rv-12,VFR,United States,United States,North America
Used,190000.0,Piston Engine,2.0,1979.0,Piper Aircraft Corporation,601P,IFR,United States,United States,North America
Used,257900.0,Piston Engine,1.0,2005.0,Cessna,182T Skylane,IFR,United States,United States,North America
Used,104900.0,Piston Engine,1.0,1979.0,Piper Aircraft,Dakota,VFR,United States,United States,North America
Used,109900.0,Piston Engine,2.0,1976.0,Beechcraft,B55 Baron,IFR,United States,United States,North America
Used,375000.0,Piston Engine,1.0,2009.0,Cirrus,Sr22-G3 Turbo Gts,IFR,United States,United States,North America
Used,195000.0,Piston Engine,1.0,1989.0,Waco Aircraft Company,Ymf-5,IFR,United States,United States,North America
Used,209000.0,Piston Engine,1.0,2000.0,Cessna,300,IFR,United States,United States,North America
Used,25000.0,Piston Engine,1.0,1948.0,Cessna,140,No information,United States,United States,North America
Used,135000.0,Piston Engine,1.0,1979.0,Piper Aircraft,Dakota,IFR,United States,United States,North America
Used,56900.0,Piston Engine,1.0,1979.0,Piper Aircraft,Archer Ii,IFR,United States,United States,North America
No information,1595000.0,Turbofan,2.0,1987.0,Bombardier Challenger,601-3Aer,No information,Canada,United States,North America
Used,540000.0,Turboprop,1.0,1980.0,Cessna,P210 Silver Eagle,IFR,United States,United States,North America
Used,689000.0,Piston Engine,1.0,2016.0,Cirrus,Sr22T-G5 Gts,IFR,United States,United States,North America
Used,319000.0,Piston Engine,1.0,1999.0,Beechcraft,B36Tc Bonanza,IFR,United States,United States,North America
Used,139900.0,Piston Engine,1.0,1998.0,Cessna,172R Skyhawk,IFR,United States,United States,North America
Used,349500.0,Piston Engine,1.0,2008.0,Cirrus,Sr22-G3 Gts,No information,United States,United States,North America
No information,650000.0,Turbofan,2.0,1997.0,Beechcraft,Beechjet 400A,IFR,United States,United States,North America
Used,29900.0,Piston Engine,1.0,1939.0,Stinson Aircraft Company ,Hw-75,VFR,United States,United States,North America
Used,125000.0,Piston Engine,1.0,1949.0,Bell Textron,47D-1,No information,United States,United States,North America
Used,179900.0,Piston Engine,2.0,1981.0,Piper Aircraft,Navajo Chieftain,IFR,United States,United States,North America
Used,64950.0,Piston Engine,1.0,1979.0,Piper Aircraft,Archer Ii,IFR,United States,United States,North America
Used,369000.0,Piston Engine,1.0,2004.0,Cessna,T206H,IFR,United States,United States,North America
No information,985000.0,Turbofan,2.0,1987.0,Dassault Aviation,50,No information,France,United States,North America
No information,1999000.0,Turboprop,2.0,2007.0,Piaggio Aero,P-180 Avanti Ii,No information,Italy,United States,North America
New,2358600.0,Turboprop,2.0,2017.0,Quest Aircraft,Kodiak,IFR,United States,United States,North America
Used,129500.0,Piston Engine,2.0,1976.0,Beechcraft,58P Baron,IFR,United States,United States,North America
Used,115000.0,Piston Engine,1.0,1953.0,Piper Aircraft,Super Cub,VFR,United States,United States,North America
Used,239000.0,Piston Engine,2.0,1978.0,Beechcraft,58 Baron,IFR,United States,United States,North America
Used,595000.0,Piston Engine,1.0,2015.0,Cirrus,Sr22-G5 Turbo,IFR,United States,United States,North America
No information,1295000.0,Turboprop,2.0,1982.0,Beechcraft,King Air B200,No information,United States,United States,North America
No information,729900.0,Piston Engine,1.0,2016.0,Cirrus,Sr22T-G5 Gts,IFR,United States,United States,North America
Used,485000.0,Piston Engine,1.0,2012.0,Cirrus,Sr22-G3 Gts,No information,United States,United States,North America
Used,85000.0,Piston Engine,1.0,1991.0,Robinson Helicopter,R22 Beta,VFR,United States,United States,North America
Used,315000.0,Piston Engine,1.0,2007.0,Cirrus,Sr22-G3 Turbo Gts,IFR,United States,United States,North America
Used,94999.0,Piston Engine,1.0,1979.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
Used,99000.0,Piston Engine,1.0,1980.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
Used,109000.0,Piston Engine,1.0,1982.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
No information,2695000.0,Turbofan,2.0,2001.0,Cessna,Citation X,No information,United States,United States,North America
No information,399000.0,Turbofan,2.0,1978.0,Cessna,Citation Ii,IFR,United States,United States,North America
Used,25000.0,Piston Engine,1.0,1947.0,Cessna,140,No information,United States,United States,North America
Used,185000.0,Piston Engine,1.0,2018.0,Brm Aero,Bristell,IFR,Czech Republic,United States,North America
Used,179900.0,Piston Engine,1.0,1979.0,Piper Aircraft,Dakota,IFR,United States,United States,North America
Used,689900.0,Piston Engine,1.0,2015.0,Cirrus,Sr22T-G5 Gts,IFR,United States,United States,North America
Used,365000.0,Turbofan,2.0,1983.0,Aero,L-39C Albatros,IFR,Czech Republic,United States,North America
No information,3995000.0,Turbofan,2.0,2000.0,Dassault Aviation,50Ex,No information,France,United States,North America
Used,2395000.0,Turbofan,2.0,2014.0,Nextant,400Xti,IFR,United States,United States,North America
Used,62000.0,Piston Engine,1.0,1981.0,Aviat,S-1S,VFR,United States,United States,North America
Used,139900.0,Piston Engine,2.0,1976.0,Piper Aircraft Corporation,601P,IFR,United States,United States,North America
Used,59900.0,Piston Engine,1.0,2010.0,Van'S Aircraft,Rv-6/6A,No information,United States,United States,North America
Used,435000.0,Piston Engine,1.0,2006.0,Robinson Helicopter,R44 Raven Ii,IFR,United States,United States,North America
Used,189000.0,Piston Engine,1.0,2006.0,Cessna,172R Skyhawk,IFR,United States,United States,North America
Used,119900.0,Piston Engine,1.0,2003.0,Piper Aircraft,Arrow,IFR,United States,United States,North America
Used,309000.0,Piston Engine,1.0,2001.0,Cessna,T206H,IFR,United States,United States,North America
Used,105000.0,Piston Engine,2.0,1968.0,Cessna,T337,IFR,United States,United States,North America
No information,10750000.0,Turbofan,2.0,2004.0,Dassault Aviation,900Ex Easy,No information,France,United States,North America
Used,245000.0,Piston Engine,1.0,1966.0,Cessna,180H,VFR,United States,United States,North America
Used,375000.0,Piston Engine,1.0,1944.0,Beechcraft,D17S Staggerwing,No information,United States,United States,North America
No information,3795000.0,Turbofan,2.0,2007.0,Gulfstream Airspace,G150,No information,United States,United States,North America
Used,34500.0,Piston Engine,1.0,1947.0,Luscombe Aircraft,8E,VFR,United States,United States,North America
Used,38500.0,Piston Engine,1.0,1964.0,Cessna,182G Skylane,No information,United States,United States,North America
Used,425000.0,Piston Engine,1.0,2008.0,Piper Aircraft,Matrix,IFR,United States,United States,North America
Used,449000.0,Piston Engine,1.0,1999.0,Piper Aircraft,Malibu Mirage,IFR,United States,United States,North America
No information,150000.0,Turbofan,2.0,1974.0,Bombardier Learjet,24D,No information,Canada,Canada,North America
Used,138000.0,Piston Engine,2.0,1976.0,Piper Aircraft,Seneca Ii,IFR,United States,United States,North America
Used,129000.0,Piston Engine,1.0,1972.0,Beechcraft,V35B Bonanza,IFR,United States,United States,North America
No information,284900.0,Piston Engine,1.0,2006.0,Cirrus,Sr22-G2 Gts,IFR,United States,United States,North America
Used,259000.0,Piston Engine,1.0,2004.0,Cirrus,Sr22-G2 Gts,IFR,United States,United States,North America
Used,549900.0,Turboprop,2.0,1978.0,Mitsubishi Heavy Industries,Mu 2N,IFR,Japan,United States,North America
Used,51000.0,Piston Engine,1.0,1963.0,Cessna,172D Skyhawk,No information,United States,United States,North America
Used,114900.0,Piston Engine,1.0,1989.0,Socata,Tb-20 Trinidad,IFR,France,United States,North America
Used,24900.0,Piston Engine,1.0,1979.0,Piper Aircraft,Tomahawk,No information,United States,United States,North America
Used,72000.0,Piston Engine,1.0,1974.0,Cessna,177Rg,IFR,United States,United States,North America
Used,239000.0,Piston Engine,2.0,1977.0,Cessna,421C,IFR,United States,United States,North America
Used,26500.0,Piston Engine,1.0,1946.0,Aeronca,7 Champion Ec,VFR,United States,United States,North America
Used,239000.0,Piston Engine,1.0,2005.0,Cessna,400,IFR,United States,United States,North America
No information,3995000.0,Turbofan,2.0,2009.0,Hawker Beechcraft,900Xp,No information,United States,United States,North America
Used,159900.0,Piston Engine,1.0,1986.0,Mooney International Corp,M20K 252,IFR,United States,United States,North America
Used,345000.0,Piston Engine,1.0,2006.0,Cessna,400,IFR,United States,United States,North America
Used,84000.0,Piston Engine,1.0,1977.0,Cessna,152,VFR,United States,United States,North America
Used,160500.0,Piston Engine,1.0,1965.0,Cessna,P206,No information,United States,United States,North America
No information,889000.0,Piston Engine,1.0,2018.0,Cirrus,Sr22T-G6 Gts,IFR,United States,United States,North America
Used,250000.0,Piston Engine,1.0,2007.0,Extra Flugzeugbau,300Lp,VFR,Germany,United States,North America
Used,155000.0,Piston Engine,1.0,1982.0,Piper Aircraft,Saratoga,IFR,United States,United States,North America
Used,325000.0,Piston Engine,1.0,2015.0,Extra Flugzeugbau,300Lp,VFR,Germany,United States,North America
Used,65000.0,Piston Engine,1.0,1939.0,Piper Aircraft,J-3 Cub,VFR,United States,United States,North America
No information,2350000.0,Turboprop,2.0,1997.0,Beechcraft,1900D,No information,United States,United States,North America
No information,1395000.0,Turbofan,2.0,2005.0,Hawker Beechcraft,400Xp,No information,United States,United States,North America
No information,1999000.0,Turboshaft,1.0,2013.0,Airbus Helicopters,As 350B-2,No information,France,United States,North America
Used,315000.0,Turbofan,2.0,1985.0,Aero,L-39C Albatros,IFR,Czech Republic,United States,North America
Used,157000.0,Piston Engine,1.0,2002.0,Maule Air,Mt-7-260,IFR,United States,United States,North America
Used,195000.0,Piston Engine,2.0,1981.0,Cessna,421C,IFR,United States,United States,North America
Used,129900.0,Piston Engine,2.0,1979.0,Cessna,414A,IFR,United States,United States,North America
Used,99500.0,Piston Engine,1.0,1980.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
Used,425000.0,Turbofan,2.0,1993.0,Beechcraft,Beechjet 400A,IFR,United States,United States,North America
No information,2995000.0,Turboprop,2.0,2011.0,Pilatus,Pc-12/47,No information,Switzerland,United States,North America
Used,279500.0,Piston Engine,2.0,1975.0,Cessna,T337G,No information,United States,United States,North America
Used,349000.0,Piston Engine,2.0,1976.0,Cessna,421C,IFR,United States,Switzerland,Europe
Used,82500.0,Piston Engine,1.0,1959.0,Cessna,182 Skylane,IFR,United States,United States,North America
Used,259000.0,Piston Engine,2.0,2007.0,Diamond Aircraft Industries,Da42 Twin Star,No information,Austria,United States,North America
Used,139000.0,Piston Engine,1.0,1941.0,Boeing/Stearman,A75 N1,VFR,United States,United States,North America
Used,33000.0,Piston Engine,1.0,1940.0,Piper Aircraft,J-4 Cub,No information,United States,United States,North America
Used,99000.0,Piston Engine,1.0,2019.0,Vashon Aircraft,Ranger R7,VFR,United States,United States,North America
Used,63000.0,Piston Engine,1.0,1979.0,Grumman,Aa5A Cheetah,IFR,United States,United States,North America
Used,165500.0,Piston Engine,2.0,1972.0,Cessna,340,IFR,United States,United States,North America
Used,325000.0,Piston Engine,1.0,2006.0,Piper Aircraft,Saratoga Ii Tc (1998 - 2008),IFR,United States,United States,North America
Used,230000.0,Piston Engine,1.0,1978.0,Siai Marchetti,Sf260C,IFR,Italy,United States,North America
Used,89000.0,Piston Engine,1.0,2000.0,Lancair,360,IFR,United States,United States,North America
Used,249900.0,Piston Engine,1.0,2006.0,Diamond Aircraft Industries,Da40 Star,IFR,Austria,United States,North America
No information,3995000.0,Turboprop,2.0,2013.0,Beechcraft,King Air 350I,IFR,United States,United States,North America
No information,375000.0,Turboprop,2.0,1974.0,Beechcraft,King Air A100,No information,United States,United States,North America
Used,239000.0,Piston Engine,1.0,1989.0,Lake,La 270 T-Renegade,IFR,United States,United States,North America
Used,60900.0,Piston Engine,2.0,1974.0,Beechcraft,B55 Baron,IFR,United States,United States,North America
Used,159900.0,Piston Engine,1.0,1950.0,North American Aviation,T28A,IFR,United States,United States,North America
No information,799000.0,Piston Engine,1.0,2020.0,Cirrus,Sr22-G6 Gts,No information,United States,United States,North America
Used,419000.0,Piston Engine,2.0,1979.0,Cessna,414A,IFR,United States,United States,North America
Used,210000.0,Piston Engine,2.0,1977.0,Piper Aircraft,Navajo Cr,IFR,United States,United States,North America
Used,39000.0,Piston Engine,1.0,1944.0,Stinson Aircraft Company ,L-5,VFR,United States,United States,North America
Used,214900.0,Piston Engine,2.0,1974.0,Cessna,340,IFR,United States,United States,North America
Used,399500.0,Piston Engine,1.0,2015.0,Cessna,172S Skyhawk Sp,IFR,United States,United States,North America
No information,2295000.0,Turbofan,2.0,1995.0,Bombardier Challenger,601-3R,No information,Canada,United States,North America
Used,285000.0,Piston Engine,1.0,1986.0,Beechcraft,A36 Bonanza 36,IFR,United States,United States,North America
Used,90000.0,Piston Engine,1.0,1980.0,Mooney International Corp,M20K 231,IFR,United States,United States,North America
Used,110000.0,Piston Engine,1.0,1998.0,Aviat,Husky A-1A,VFR,United States,United States,North America
Used,35000.0,Piston Engine,1.0,1962.0,Piper Aircraft,Cherokee 180,VFR,United States,United States,North America
Used,159900.0,Piston Engine,1.0,2001.0,Bellanca,17-30A Super Viking (1979 And Newer),IFR,United States,United States,North America
Used,165500.0,Piston Engine,1.0,1990.0,Socata,Tb-21 Tc Trinidad,IFR,France,United States,North America
Used,49900.0,Piston Engine,1.0,1978.0,Bellanca,17-30A Super Viking,IFR,United States,United States,North America
Used,92500.0,Piston Engine,1.0,1977.0,Bellanca,17-30A Super Viking,IFR,United States,United States,North America
Used,116500.0,Piston Engine,1.0,2013.0,Edra Pecas E Manutencao Ltda,Ls,VFR,Brazil,United States,North America
Used,90000.0,Piston Engine,1.0,1951.0,Dehavilland,Dhc-1,IFR,Canada,United States,North America
Project,7000.0,Piston Engine,1.0,1946.0,Ercoupe,415-D,IFR,United States,United States,North America
Used,129000.0,Piston Engine,2.0,1967.0,Beechcraft,C55 Baron,IFR,United States,United States,North America
Used,86500.0,Piston Engine,2.0,1979.0,Piper Aircraft,Seminole,IFR,United States,United States,North America
No information,279900.0,Piston Engine,1.0,2005.0,Cirrus,Sr22-G2 Gts,IFR,United States,United States,North America
Used,129000.0,Piston Engine,2.0,1979.0,Piper Aircraft,Seneca Ii,IFR,United States,United States,North America
Used,79500.0,Piston Engine,1.0,1953.0,Piper Aircraft,Super Cub,VFR,United States,United States,North America
Used,179000.0,Piston Engine,1.0,1951.0,North American Aviation,Harvard Mkiv,No information,United States,United States,North America
Used,155000.0,Piston Engine,1.0,1995.0,Bellanca,17-30A Super Viking (1979 And Newer),IFR,United States,United States,North America
Used,139900.0,Piston Engine,2.0,1977.0,Cessna,340A,IFR,United States,United States,North America
Used,340000.0,Turboprop,1.0,1977.0,Siai Marchetti,Sm1019B,IFR,Italy,United States,North America
Used,69500.0,Piston Engine,1.0,1966.0,Cessna,182J Skylane,No information,United States,United States,North America
Used,24950.0,Piston Engine,1.0,1979.0,Piper Aircraft,Warrior Ii,VFR,United States,United States,North America
No information,6995000.0,Turbofan,2.0,2005.0,Bombardier Challenger,300,IFR,Canada,United States,North America
Used,13500.0,Piston Engine,1.0,1992.0,Stolp Aircraft,Starduster One Sa-100,No information,United States,United States,North America
Used,17500.0,Piston Engine,1.0,2003.0,Preceptor,Ultra Pup,VFR,United States,United States,North America
Used,55000.0,Piston Engine,1.0,1969.0,Piper Aircraft,Arrow,IFR,United States,United States,North America
Used,69000.0,Piston Engine,1.0,1979.0,Lake,La 4/200,No information,United States,United States,North America
Used,180000.0,Piston Engine,1.0,2004.0,Enstrom Helicopter Corporation,280Fx Shark,VFR,United States,United States,North America
Used,550000.0,Turboshaft,1.0,2009.0,Enstrom Helicopter Corporation,480B Turbine,VFR,United States,United States,North America
Used,1695000.0,Turbofan,2.0,2010.0,Embraer,Phenom 100,IFR,Brazil,United States,North America
Used,62000.0,Piston Engine,1.0,1970.0,Piper Aircraft,Arrow Ii,IFR,United States,United States,North America
Used,139000.0,Piston Engine,1.0,1977.0,Beechcraft,V35B Bonanza,IFR,United States,United States,North America
Used,89000.0,Piston Engine,1.0,1973.0,Piper Aircraft,Arrow Ii,IFR,United States,United States,North America
Used,115000.0,Piston Engine,2.0,1977.0,Cessna,337G,IFR,United States,United States,North America
Used,695000.0,Turbofan,2.0,1974.0,Cessna,Citation Stallion,No information,United States,United States,North America
Used,10900.0,Piston Engine,1.0,2003.0,Acro Sport,Baby Ace,VFR,United States,United States,North America
Used,85000.0,Piston Engine,1.0,1978.0,Piper Aircraft,Cherokee 6/300,IFR,United States,United States,North America
Used,249000.0,Piston Engine,2.0,1978.0,Cessna,421C,IFR,United States,United States,North America
Used,145000.0,Piston Engine,2.0,1979.0,Piper Aircraft,Seneca Ii,IFR,United States,United States,North America
Used,325000.0,Piston Engine,2.0,1978.0,Cessna,414A,IFR,United States,United States,North America
Used,3449000.0,Turboprop,2.0,2017.0,Socata,Tbm 930,No information,France,United States,North America
Used,69900.0,Piston Engine,1.0,1958.0,Beechcraft,J35 Bonanza,No information,United States,United States,North America
Used,149900.0,Piston Engine,2.0,1971.0,Cessna,421B,IFR,United States,United States,North America
New,279900.0,Piston Engine,1.0,2018.0,Aviat,Husky A-1C,VFR,United States,United States,North America
Used,25000.0,Piston Engine,1.0,1947.0,Ercoupe,415-C,No information,United States,United States,North America
Used,335000.0,Piston Engine,1.0,1998.0,Beechcraft,A36 Bonanza 36,IFR,United States,United States,North America
Used,459000.0,Piston Engine,1.0,2007.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,75000.0,Piston Engine,1.0,1958.0,Beechcraft,35 Bonanza,IFR,United States,United States,North America
Used,120000.0,Piston Engine,1.0,1979.0,Piper Aircraft,Arrow Iv,IFR,United States,United States,North America
Used,249000.0,Piston Engine,1.0,1980.0,Cessna,207 Turbo,IFR,United States,United States,North America
Used,23900.0,Piston Engine,1.0,1946.0,Ercoupe,415-D,IFR,United States,United States,North America
Used,749000.0,Piston Engine,1.0,2017.0,Cirrus,Sr22T-G6 Gts,IFR,United States,United States,North America
No information,990000.0,Turboprop,2.0,2007.0,Piper Aircraft,Meridian,No information,United States,Germany,Europe
No information,7200000.0,Turbofan,2.0,2010.0,Cessna,Citation Sovereign,No information,United States,Malaysia,Asia
Used,1295000.0,Turboprop,1.0,1999.0,Cessna,Caravan 208 Amphibian,No information,United States,United States,North America
Used,165000.0,Piston Engine,2.0,1979.0,Cessna,310R,IFR,United States,United States,North America
Used,199500.0,Piston Engine,2.0,1975.0,Cessna,310R,IFR,United States,United States,North America
Used,145000.0,Piston Engine,2.0,1980.0,Cessna,310R,IFR,United States,United States,North America
Used,73000.0,Piston Engine,1.0,1995.0,Maule Air,Mx-7-180A,No information,United States,United States,North America
Used,23900.0,Piston Engine,1.0,1967.0,Cessna,150G,IFR,United States,United States,North America
Used,22900.0,Piston Engine,1.0,1974.0,Cessna,150M,VFR,United States,United States,North America
Used,445000.0,Piston Engine,1.0,1999.0,Piper Aircraft,Malibu Mirage,IFR,United States,United States,North America
Used,127000.0,Piston Engine,2.0,1973.0,Beechcraft,58 Baron,IFR,United States,United States,North America
No information,159000.0,Piston Engine,1.0,2003.0,Robinson Helicopter,R44 Raven Ii,VFR,United States,United States,North America
Used,62995.0,Piston Engine,1.0,2011.0,Van'S Aircraft,Rv-12,VFR,United States,United States,North America
